ID	Mean	Parity	Sex	Herd	YearSeason	BirthWeight	DAY115	BF115	LMA115	LEAN115
31116427	1	3	1	3	133	45	206.27	12.19	28.98	
31116428	1	2	1	2	163	48	207.27	11.35		50.87
31116429	1	1	1	3	114	45	208.27	8.88		
31116430	1	2	1	1	172	37	209.27	11.8		
31116431	1	0	1	3	111	43	210.27	10.4	23.31	49.23
31116432	1	3	1	2	113	43	211.27	11.09		
31116433	1	4	1	1	173	37	212.27	15.13		
31116434	1	0	1	4	133	34	213.27	10.45		
31116435	1	2	1	3	123	35	214.27	12.56		
31116436	1	3	1	3	134	32	215.27	9.44		
31116437	1	4	1	2	112	49	216.27	9.59	24.57	
31116438	1	2	1	2	111	50	217.27	9.57		46.72
31116439	1	0	1	4	172	40	218.27	11.72		
31116440	1	0	1	3	161	47	219.27	11.02	23.14	
310160060331	1	4	0	1	181	36	220.27	13.25		
310160060332	1	2	0	1	172	36	221.27	12.1		
310160060333	1	1	0	4	163	42	222.27	9.47		
310160060334	1	1	0	2	142	35	223.27	9.49		42.65
310160060336	1	4	0	4	141	44	224.27	11.38		
310160060337	1	1	0	4	152	50	225.27	8.55		
310160060338	1	3	0	2	133	36	226.27	10.53	25.47	
310160060339	1	2	0	1	151	31	227.27	13.84		
310160060340	1	1	0	4	114	50	228.27	12.54		42.31
310160060352	1	3	0	3	113	33	229.27	9.23		
310204110282	1	3	0	3	152	45	230.27	15.47	26.32	
310204110558	1	2	0	2	161	50	231.27	6.54		
310204120407	1	2	0	4	154	43	232.27	8.52		
310204120475	1	1	0	4	184	35	233.27	11.43		
310204120500	1	0	0	4	112	35	234.27	11.02		46.74
310204120555	1	2	0	3	173	50	235.27	9.98		
310204120757	1	3	0	3	172	42	236.27	9.16		
310204120773	1	3	0	3	162	47	237.27	12.16	14.25	
310204120859	1	4	0	2	134	48	238.27	10.91		
310204120901	1	3	0	3	114	43	239.27	13.43		
310204120935	1	3	0	2	171	40	240.27	12.61		
310204120964	1	2	0	3	133	41	241.27	13.86		
310204120976	1	4	0	3	181	34	242.27	10.89	24.65	49.59
310204130416	1	2	0	1	164	38	243.27	10.94		
310204130430	1	4	0	3	113	42	244.27	12.54		
310204130451	1	0	0	4	183	34	245.27	9.35		
310204130528	1	0	0	2	141	46	246.27	8.3		
310204130610	1	0	0	4	181	31	247.27	13.07		48.92
310204130626	1	2	0	2	113	31	248.27	10.85		
310204140425	1	1	0	3	171	32	249.27	9.91		
310204140479	1	3	0	1	172	31	250.27	9.53		
310204140976	1	0	0	2	181	46	251.27	7.35		
310204140984	1	4	0	3	133	37	252.27	10.81	27.34	
310204141150	1	4	0	3	171	45	253.27	11.84		
310204150498	1	0	0	4	141	40	254.27	13.04		43.67
310204150551	1	1	0	3	174	37	255.27	10.94		
310204150594	1	1	0	1	144	43	256.27	9.67		
310204150630	1	0	0	3	124	37	257.27	8.68		
310204150653	1	4	0	4	152	35	258.27	11.55		
310204150656	1	3	0	3	153	31	259.27	7.95	26.04	51.16
310204150694	1	3	0	4	142	30	260.27	13.54		
310204150696	1	2	0	2	142	35	261.27	10.98		
310204150701	1	4	0	3	134	44	262.27	7.65		
310204150717	1	3	0	2	143	33	263.27	8.87		
310204150719	1	0	0	2	171	34	264.27	9.94		
310204150731	1	3	0	2	144	40	265.27	10.95	19.13	47.4
310204150745	1	0	0	2	114	32	266.27	13.83	32.98	51.83
310204150749	1	3	0	2	144	30	267.27	12.86		
310204150752	1	3	0	2	124	47	268.27	10.34		
310204150753	1	3	0	1	184	33	269.27	10.47		51.67
310204150768	1	3	0	2	171	33	270.27	9.38	25.45	
310204150786	1	2	0	4	171	32	271.27	8.6		
310204150794	1	0	0	2	142	38	272.27	14.01		
310204150812	1	0	0	3	173	47	273.27	11.21		
310204150826	1	0	0	2	123	36	274.27	11.22		41.89
310204150841	1	3	0	2	121	32	275.27	11.47		
310204150844	1	3	0	2	123	34	276.27	12.06	26.89	
310204150864	1	1	0	3	121	39	277.27	17.74		
310204150872	1	2	0	2	134	30	278.27	10.56		
310204150874	1	3	0	3	154	37	279.27	10.31	25.67	
310204150889	1	2	0	3	154	41	280.27	9.62		
310204150899	1	4	0	2	151	49	281.27	11.73		42.78
310204150904	1	2	0	2	143	30	282.27	13.04		
310204150906	1	4	0	2	142	37	283.27	11.18		
310204150921	1	0	0	4	113	45	284.27	14.29	21.56	
310204150941	1	3	0	4	172	42	285.27	8.15		
310204150943	1	3	0	1	181	41	286.27	8.66		45.78
310204150960	1	4	0	2	144	37	287.27	8.16		
310204150995	1	3	0	2	151	35	288.27	10.6	29.76	
310204150998	1	4	0	1	163	44	289.27	11.37		
310204151073	1	3	0	4	141	39	290.27	13.73		
310204151110	1	3	0	1	144	44	291.27	9.92		43.56
310204151131	1	4	0	2	182	50	292.27	9.46	27.13	
310204160513	1	3	0	3	162	49	293.27	9.97		
310204160527	1	4	0	4	133	32	294.27	9.2		
310204160535	1	3	0	4	181	42	295.27	9.56		45.98
310204160536	1	4	0	3	163	39	296.27	12.73		
310204160558	1	1	0	1	181	32	297.27	9.61	24.47	
310204160603	1	1	0	4	123	47	298.27	12.18		
310204160622	1	3	0	1	153	32	299.27	8.9		
310204160643	1	0	0	3	163	48	300.27	9.14		45.76
310204160689	1	3	0	3	144	42	301.27	12.19		
310204160704	1	3	0	3	181	45	302.27	7.98		
310204160743	1	0	0	4	182	42	303.27	6.75		
310204160751	1	2	0	1	174	36	304.27	11.17		47.34
310204160768	1	4	0	2	132	44	305.27	7.41		
310204160776	1	4	0	4	111	44	306.27	9.87	19.06	47.75
310204160779	1	4	0	4	173	42	307.27	7.29		
310204160800	1	0	0	1	143	35	308.27	9.48		
310204160808	1	2	0	2	173	46	309.27	8.35		
310204160816	1	3	0	2	124	39	310.27	13.24		
310204160854	1	1	0	1	163	37	311.27	10.69	22.36	48.76
310204160869	1	3	0	4	121	48	312.27	8.86	24.52	50.25
